demo,level,The company's vision is very clear.,I can summarize the company's vision to someone I meet.,I feel inspired by the company's vision.,Leaders are passionate about the company's vision.,Leaders are guided by the company's vision.,I have confidence in the company's strategy.,I know what my company wants to achieve in the next year.,This company knows how to get the results it is looking for.,We know what our next step is for improving our capabilities.,Leadership effectively connects my work to the company goals.,I have a great deal of confidence in the leadership of this company.,Company leaders impact the attitude and culture of the entire company.,The leadership of this company is fantastic in comparison to the leadership of other organizations I've been involved with.,Leaders find the time to get to know the employees.,I have confidence in the decision making of company leaders.,We deal with the same problems again and again.*,Company changes usually have a positive impact on me.,People look to pass the blame when something goes wrong.*,"If an issue arises, people mostly remain calm and focused.",We use feedback from customers to improve our services.,I have real time access to business i.,My team uses performance measures (i.e. key performance indicators).,We are recognized for our successes.,We have a clear sense at all times whether or not we're meeting our objectives.,We are held accountable for our performance.,I often use 'workarounds' instead of the company's established systems.*,It often takes too long to get the information I need.*,"Oftentimes, I have to take care of things that shouldn't be my responsibility.*",I know who to go to when I have concerns about our systems/processes.,I follow the company's standardized procedures.,Our team consistently meets our goals.,Our work would be better if we collaborated more.,Our skills complement each other well.,There's a real sense that I am part of a team.,Our company has a spirit of teamwork and cooperation.,My company does a good job of hiring the right people for the right jobs.,I am confident my performance affects my compensation.,I get along well with my supervisor.,Performance reviews are a waste of time.*,"Based on my experience, the company does a great job of acclimating new employees.",I get helpful feedback from my supervisor on a regular basis.,I am consistently improving at my job.,People here are always willing to help me learn.,The company invests in employees learning new skills.,I have grown professionally during my time with this company.,My job role is always extremely clear.,I am very frequently overwhelmed at work.*,My job is a great fit for my skills and strengths.,I embrace the company's core values.,I look forward to going to work.,I believe in the products or services we provide.,I respond to customer needs as quickly as possible.,I build great relationships with my customers.,I'm disappointed if I don't meet my customers' expectations.,I seek feedback from customers to improve our products or services.,My opinions are heard and valued.,I am confident that leadership understands what I do.,I am very comfortable letting my supervisor know when I've made a mistake.,I trust my supervisor has my best interest in mind.,I feel micromanaged.*,People in my organization express genuine gratitude toward one another.,I practice mindfulness by staying in the present moment while doing my work.,People I work with generally feel optimistic about the organization's future.,People that I work with care about my happiness and well-being.,I feel inspired every day to do my best work.,"Taking everything into consideration, I am satisfied with my job as a whole.",I am willing to put in a great deal of effort beyond what is normally expected in order to help the organization.,Direction,Operations,People,Engagement,Vision,Strategy,Leadership,Adaptability,Performance,Systems,Teamwork,Talent,Development,Fit,Customer,Climate,Positivity,nps_score,Detractor,Passive,Promoter
ALL,ALL,72,67,67,68,68,70,71,66,65,69,68,77,65,65,64,37,59,43,60,68,59,63,62,65,67,58,50,43,73,79,67,70,72,71,66,57,68,82,58,58,68,78,70,59,78,73,49,79,77,75,81,85,78,81,76,62,67,80,74,64,65,73,63,65,75,77,84,68,59,68,73,69,68,68,53,63,61,69,64,70,71,80,70,68,22,76,130,154
TENURE,Less than a year,79,71,72,73,73,73,74,68,68,74,73,77,71,69,71,47,64,54,64,70,58,61,61,69,70,59,55,55,76,80,68,77,77,76,74,64,74,87,67,62,71,81,74,64,76,74,51,79,79,77,83,83,73,80,76,64,73,82,79,71,70,74,64,68,79,81,86,72,63,73,75,74,71,72,60,64,65,74,71,73,72,79,74,71,31,NA,NA,NA
TENURE,1 - 4 years,71,67,66,69,69,69,70,67,66,70,68,79,67,70,67,40,58,46,59,70,61,63,65,69,71,62,53,46,73,77,65,70,73,72,67,59,66,81,64,58,69,80,72,60,76,72,53,76,76,71,80,82,76,79,75,62,67,82,75,65,64,72,62,65,70,72,80,69,61,69,73,69,68,70,55,66,62,70,66,71,70,78,70,66,18,NA,NA,NA
TENURE,5 - 8 years,71,68,70,69,68,71,75,66,67,68,69,79,65,62,64,33,56,37,59,67,56,68,62,62,66,57,49,38,73,78,69,72,74,72,67,56,67,83,56,57,72,78,72,58,79,73,44,83,80,78,83,88,82,85,78,64,69,82,77,59,65,73,63,69,79,77,85,69,57,69,75,69,69,68,50,63,59,71,64,72,72,83,70,70,22,NA,NA,NA
TENURE,9+ years,71,64,65,66,66,69,69,64,62,66,65,73,62,61,60,33,59,42,60,65,58,60,58,62,62,56,46,40,71,80,66,67,68,66,60,54,67,80,50,57,64,74,64,56,80,73,48,79,76,76,80,85,78,81,76,61,65,77,70,63,63,73,63,62,76,79,85,65,57,65,73,66,66,64,52,60,59,66,62,68,70,80,67,67,22,NA,NA,NA
FUNCTION,CI & Maintenance,86,61,82,79,79,86,86,86,82,86,79,82,79,75,75,32,64,36,46,75,75,71,71,75,79,50,46,50,86,96,61,68,79,68,68,64,82,79,68,57,61,79,57,54,82,79,64,75,79,82,89,86,82,86,82,61,64,68,79,61,75,82,82,68,86,79,86,80,64,68,76,77,85,78,51,74,66,69,70,66,76,85,66,79,57,NA,NA,NA
FUNCTION,EHS,81,66,78,72,75,81,78,75,72,75,81,75,75,78,59,47,59,38,62,72,69,69,75,75,66,66,53,41,75,81,69,72,72,72,72,72,72,81,34,66,69,69,78,72,78,78,47,78,78,81,78,75,69,69,69,69,75,78,81,53,78,75,62,72,81,78,81,75,63,70,72,74,76,74,56,71,63,71,65,73,72,72,71,74,50,NA,NA,NA
FUNCTION,Finance/IT,75,68,70,68,68,69,74,66,67,70,64,73,57,73,64,42,61,47,58,67,68,70,58,66,61,58,59,42,67,73,62,70,67,72,68,57,66,81,59,59,70,77,68,58,75,68,41,78,78,72,76,75,73,72,67,65,72,81,70,74,62,70,60,68,72,73,81,68,60,67,71,70,69,66,55,65,60,68,64,70,68,72,72,67,18,NA,NA,NA
FUNCTION,Human Resources,63,45,58,63,57,60,68,60,58,62,62,70,58,63,43,37,47,43,55,52,58,58,55,52,37,60,55,42,62,70,63,67,62,62,48,55,63,75,55,63,60,62,62,57,75,72,35,70,68,60,67,75,65,75,68,62,57,63,72,50,60,65,50,62,63,60,67,59,52,62,64,57,62,59,47,52,58,60,62,63,61,70,61,60,0,NA,NA,NA
FUNCTION,IsoTek Manufacturing,72,67,65,73,77,72,65,75,70,68,73,82,77,65,62,50,63,53,73,75,48,62,62,60,75,68,58,50,83,87,65,63,67,63,53,52,53,80,63,48,58,83,65,57,78,83,48,77,78,72,88,87,70,73,68,53,57,88,75,73,57,68,62,60,63,70,85,71,65,63,73,71,70,72,63,61,69,62,59,68,72,77,69,62,20,NA,NA,NA
FUNCTION,Operations,71,67,67,66,67,70,69,67,67,71,69,78,65,65,66,40,61,44,59,70,57,62,64,67,70,57,50,41,75,77,68,71,73,71,67,58,69,83,61,57,66,80,67,58,74,74,51,77,76,77,81,83,73,78,73,62,69,80,71,59,63,72,64,62,76,77,83,68,59,68,72,68,69,69,55,64,60,70,66,69,71,78,68,68,22,NA,NA,NA
FUNCTION,Order Process & Quality,74,71,69,68,70,70,73,65,64,68,63,73,63,60,60,35,61,36,62,66,62,66,58,67,70,57,51,41,75,82,70,69,73,72,65,48,65,80,56,58,70,75,69,58,78,71,46,78,76,74,77,82,71,79,74,60,65,81,76,59,60,71,62,60,72,77,83,67,59,67,71,70,68,64,52,65,61,70,61,70,69,77,68,65,-2,NA,NA,NA
FUNCTION,Sales,72,69,68,71,69,69,72,64,64,66,68,79,66,64,67,33,56,44,59,66,57,61,63,63,66,60,46,46,72,79,66,72,74,73,69,60,70,84,56,59,71,78,74,60,82,74,50,83,80,76,85,91,89,89,84,65,67,82,77,73,68,74,64,70,77,80,86,69,58,70,78,70,67,69,52,62,61,71,66,73,73,88,73,71,33,NA,NA,NA
FUNCTION,Supply Chain,68,70,61,66,65,65,69,64,60,67,67,73,66,69,68,35,58,46,64,71,57,66,58,69,62,53,51,43,69,76,66,72,72,73,64,58,68,82,59,57,73,80,75,60,81,68,51,79,76,75,83,83,79,85,79,62,73,80,74,55,67,80,62,67,81,77,89,66,59,69,74,66,65,68,55,62,58,69,65,74,70,82,69,71,21,NA,NA,NA
LEVEL,Leadership (Director and up),73,82,77,68,68,80,86,68,73,77,70,89,68,82,75,32,68,50,68,70,61,70,61,73,75,57,57,43,82,82,70,59,66,66,64,57,73,89,70,48,75,82,75,66,89,84,61,91,80,82,89,89,84,86,86,68,75,86,77,61,68,66,61,66,84,80,91,76,63,70,80,74,77,77,58,68,64,65,67,77,80,87,74,69,36,NA,NA,NA
LEVEL,Management,70,66,65,68,68,66,68,60,64,63,68,81,60,65,65,39,55,49,64,62,65,67,62,60,61,60,54,46,70,81,65,70,74,74,63,57,70,87,70,54,67,81,70,58,79,75,52,84,83,83,85,93,88,92,83,69,70,84,79,78,66,74,59,68,77,79,92,67,60,69,80,68,64,68,54,63,62,69,67,71,75,88,76,69,24,NA,NA,NA
LEVEL,Supervisor,76,72,72,76,75,74,76,68,68,74,72,83,70,68,68,39,62,39,61,72,66,65,64,70,74,60,54,43,79,78,72,76,76,76,71,61,69,85,59,59,70,78,73,66,86,71,45,79,78,78,83,85,78,82,78,64,70,86,76,62,68,71,60,63,76,78,88,73,62,72,74,74,72,72,55,68,63,74,66,75,70,81,72,68,32,NA,NA,NA
LEVEL,Team Member,72,66,67,68,68,69,70,67,65,68,67,75,65,64,63,37,58,43,59,68,57,62,61,65,66,58,49,43,72,78,66,70,72,70,65,57,67,80,55,59,68,77,69,58,76,72,48,77,76,73,80,83,76,79,74,61,66,79,73,62,64,73,64,65,74,76,81,68,58,67,72,68,68,67,53,62,60,69,64,69,70,78,68,68,19,NA,NA,NA
LOCATION,"Baton Rouge, LA",70,70,70,68,68,70,65,65,62,68,68,82,65,55,70,34,53,43,58,62,58,63,58,60,58,73,60,55,75,88,60,62,73,68,63,55,63,90,58,60,67,85,70,57,82,80,67,88,88,72,87,95,83,90,83,55,62,85,70,82,60,78,62,60,83,82,93,68,60,68,79,69,66,68,50,60,70,65,65,72,79,88,71,69,33,NA,NA,NA
LOCATION,"Beaumont, TX",70,67,67,69,67,67,64,66,62,66,64,75,64,61,64,41,55,48,66,66,61,56,62,66,72,61,52,41,72,83,69,69,73,73,70,59,73,80,66,61,67,81,73,58,83,73,50,84,81,69,83,89,86,88,78,58,66,78,78,56,66,77,62,66,72,81,86,66,60,70,74,68,65,66,55,63,62,71,68,72,72,85,67,68,38,NA,NA,NA
LOCATION,Belgium,47,56,56,53,53,50,56,41,50,62,56,72,47,72,50,38,59,41,66,78,53,50,56,69,66,50,31,22,72,72,47,66,69,66,59,56,59,69,59,53,62,88,66,50,84,53,41,72,72,75,84,88,69,78,75,50,56,78,69,56,56,59,41,56,78,66,81,55,55,64,68,53,52,59,56,59,49,61,59,70,62,79,62,58,-12,NA,NA,NA
LOCATION,"Boothwyn, PA",75,71,75,79,82,82,86,75,71,71,75,71,71,61,71,32,61,36,64,64,50,43,61,50,61,61,54,39,64,82,75,82,89,75,71,64,71,93,43,61,75,79,79,79,86,57,39,86,86,89,89,96,89,89,82,68,71,89,82,79,71,79,71,75,86,89,96,75,55,75,80,76,77,70,51,53,60,79,66,79,71,89,78,76,29,NA,NA,NA
LOCATION,"Dominquez, CA",87,81,81,87,83,85,81,77,73,79,85,87,85,73,83,46,62,54,69,73,67,75,75,83,81,63,58,63,85,81,77,85,83,83,81,69,83,88,71,65,85,83,83,81,88,81,65,92,92,88,94,94,94,92,90,83,81,88,85,77,77,83,71,75,83,88,92,82,69,80,87,83,79,82,61,76,70,82,75,84,84,93,83,78,77,NA,NA,NA
LOCATION,"Ferndale, WA",50,48,45,50,48,48,55,42,38,45,42,75,45,38,48,22,55,42,58,62,52,48,48,50,60,60,45,38,58,75,65,62,60,60,48,42,58,85,55,42,55,75,70,45,85,58,45,72,65,62,72,80,72,82,75,58,52,85,78,72,62,65,45,58,55,62,82,48,52,60,69,48,46,50,48,52,55,59,56,66,60,76,69,57,-30,NA,NA,NA
LOCATION,"Freeport, TX",72,67,64,69,61,67,72,69,61,61,64,81,67,69,64,31,47,53,69,72,61,69,67,64,75,53,42,47,72,78,69,72,75,69,75,67,69,86,50,50,75,75,72,56,81,81,44,72,67,64,72,75,67,78,67,61,75,83,78,72,69,75,67,58,78,81,75,67,60,69,70,67,66,69,54,67,58,72,64,72,66,72,74,69,33,NA,NA,NA
LOCATION,"Golden, CO",63,62,60,67,67,63,67,60,65,68,67,83,62,72,60,33,67,40,58,72,32,63,68,58,63,38,40,43,70,67,60,60,72,68,47,40,68,90,65,55,65,78,73,57,80,68,47,80,70,73,83,78,68,80,80,68,58,87,87,85,62,65,47,73,70,73,83,66,54,65,74,64,65,69,54,57,52,61,64,71,68,78,77,63,13,NA,NA,NA
LOCATION,"Houston, TX",72,66,67,65,66,69,72,65,65,66,65,73,62,65,59,35,61,38,58,65,61,64,60,66,65,56,50,40,73,81,65,68,68,68,63,53,67,79,55,57,67,76,66,56,77,74,45,77,77,76,79,83,75,78,74,60,67,77,72,60,63,72,62,63,75,76,83,66,58,66,72,67,67,65,51,63,60,66,62,68,70,78,67,67,19,NA,NA,NA
LOCATION,"Joliet, IL",84,77,70,73,77,70,75,70,70,68,66,77,75,66,66,45,55,64,64,61,64,68,68,64,73,68,55,48,70,75,73,77,84,82,77,66,70,73,64,57,61,80,77,66,84,70,57,82,80,73,84,86,84,77,73,61,55,80,66,61,73,73,66,70,70,75,80,72,63,73,73,76,71,70,58,67,63,79,66,74,72,81,65,70,9,NA,NA,NA
LOCATION,"Lake Charles, LA",79,75,82,89,86,79,86,79,75,86,89,93,75,64,79,36,46,36,61,75,64,75,61,64,68,86,50,54,79,86,86,86,86,86,86,68,54,86,71,57,82,86,75,64,79,75,25,89,86,93,96,96,89,96,79,79,68,89,79,36,79,68,64,68,93,82,89,81,63,77,78,82,81,80,51,66,71,86,67,77,74,91,70,74,71,NA,NA,NA
LOCATION,"Matrix (Houston, TX)",78,66,75,75,75,78,66,72,75,72,75,75,75,62,84,53,59,38,66,66,50,53,62,56,62,47,53,38,81,78,69,75,78,69,69,69,84,78,53,66,72,75,75,75,78,84,59,78,72,75,81,78,72,75,75,75,78,81,84,53,78,72,72,69,88,88,84,74,58,72,75,74,72,74,56,57,59,72,70,75,74,76,74,76,100,NA,NA,NA
LOCATION,"Minneapolis, MN",79,75,71,79,79,75,79,71,67,71,75,79,62,71,75,54,46,50,67,75,54,58,54,58,62,67,54,42,75,83,67,88,88,88,67,62,54,92,58,62,88,79,79,46,75,62,50,83,79,71,83,100,88,92,83,58,79,92,96,88,62,58,58,67,75,71,83,74,60,73,80,77,72,72,58,58,64,79,66,73,69,89,82,64,-17,NA,NA,NA
LOCATION,"New Orleans, LA",70,70,65,70,70,70,70,70,70,70,70,70,70,70,70,20,55,35,60,75,65,60,60,55,60,80,55,45,70,90,60,65,65,65,65,60,75,85,55,65,65,75,65,70,85,80,50,75,75,75,95,100,95,95,95,65,70,75,75,75,60,80,65,65,75,80,95,70,59,68,80,69,70,70,49,60,68,64,68,72,71,96,72,69,100,NA,NA,NA
LOCATION,"Salt Lake City, UT",70,65,65,65,65,70,75,60,60,65,70,90,60,55,60,30,35,25,35,60,65,45,50,70,60,70,40,50,70,70,65,70,75,65,65,65,50,75,60,40,55,75,75,55,75,75,45,70,70,60,75,80,80,80,70,55,50,75,60,50,50,70,60,55,60,65,75,66,52,64,66,66,66,67,37,58,60,68,58,67,64,77,58,59,0,NA,NA,NA
LOCATION,"SARNA, Canada",73,65,65,70,67,67,64,68,62,74,69,77,67,73,69,45,57,49,62,67,49,57,55,57,60,65,61,50,74,80,67,70,69,63,61,57,61,88,62,56,57,74,67,57,75,67,65,79,77,71,85,86,76,83,67,61,76,87,77,71,57,73,64,61,70,77,83,69,59,66,75,68,67,71,56,55,66,66,65,66,72,79,75,65,24,NA,NA,NA
LOCATION,Singapore,72,72,72,78,78,72,72,72,75,75,78,78,75,69,75,39,53,53,69,75,69,69,72,75,75,44,47,47,75,75,69,75,78,75,75,72,69,78,61,67,75,75,72,64,75,72,44,75,72,75,75,72,78,78,72,75,75,78,72,56,69,69,69,67,75,75,78,74,63,72,71,74,73,75,58,72,58,74,69,72,68,75,71,70,-11,NA,NA,NA
LOCATION,Thailand,80,75,75,78,82,82,83,82,83,88,87,87,84,76,82,46,70,72,51,83,61,76,76,75,86,58,46,49,75,55,79,88,86,88,83,79,84,83,59,64,80,80,79,68,57,79,58,71,74,79,79,83,74,72,84,71,74,76,72,55,71,83,78,75,76,76,78,81,65,77,73,78,83,83,64,75,57,85,74,73,72,78,70,77,-16,NA,NA,NA
GENERATION,Baby Boomer (born between 1946 - 1965),73,68,68,67,67,70,71,65,65,68,69,71,62,64,63,38,60,44,65,67,61,64,63,67,64,59,47,43,72,80,66,69,70,70,66,58,71,80,54,59,68,75,68,62,80,75,48,80,79,80,83,86,81,84,77,65,71,77,74,63,66,72,66,65,78,81,84,68,59,68,75,69,68,66,55,64,60,68,64,71,72,82,70,70,40,NA,NA,NA
GENERATION,Generation X (born between 1966 - 1980),73,66,69,68,68,72,72,66,64,67,67,77,64,64,64,34,57,42,58,63,60,62,59,61,63,58,52,45,70,79,65,68,71,66,61,53,66,83,58,56,66,75,67,55,75,74,48,78,76,74,80,84,75,79,74,61,66,81,73,65,64,73,62,64,74,76,84,68,58,66,73,69,68,67,51,61,61,66,63,67,70,78,69,67,24,NA,NA,NA
GENERATION,Generation Y (born between 1981 - 2000),71,68,66,70,70,68,71,67,68,71,68,81,69,67,66,39,60,45,58,72,57,64,64,68,72,59,51,42,76,77,68,73,75,75,70,60,68,82,61,58,70,82,72,61,78,71,51,78,77,73,81,84,77,81,77,63,66,82,76,64,64,73,62,66,73,75,82,69,60,70,73,69,69,70,55,65,61,72,66,73,70,80,70,68,11,NA,NA,NA
